出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/08/06","115/7","1213","大飲","食品工業","32555","25270","23287","28.82865057380293","39.79902950143857","183142","158479","15.562314249837518","-"
"115/08/06","115/7","1256","鮮活果汁-KY","食品工業","619291","575547","507659","7.600421859552738","21.989563860780564","3267034","2302848","41.869285337113","-"
"115/08/06","115/7","1319","東陽","汽車工業","2035775","1806325","1659710","12.702586743803025","22.658476480830988","13329502","14844436","-10.205399518041641","-"
"115/08/06","115/7","1342","八貫","其他","337627","308127","190833","9.573974367712015","76.92275445022611","2249775","1677237","34.13578403052163","主要係航海航太的客戶強勁拉貨及戶外產品熱銷使得客戶增加出貨所致"
"115/08/06","115/7","1414","東和","紡織纖維","30089","35054","35243","-14.16386147087351","-14.624180688363646","270794","295023","-8.212580036132776","-"
"115/08/06","115/7","1434","福懋","紡織纖維","2152442","2148851","2186035","0.1671125638771604","-1.5367091560748112","16362565","17119383","-4.420825213151666","-"
"115/08/06","115/7","1435","中福","其他","499","499","499","0.0","0.0","3489","3489","0.0","-"
"115/08/06","115/7","1436","華友聯","建材營造","88560","245835","1472403","-63.97583745194948","-93.98534232815337","571602","3125871","-81.71383272054413","本月及累計營收較去年同期減少，係今年交屋數量較去年同期減少所致。"
"115/08/06","115/7","1437","勤益控","其他","107578","117312","163031","-8.29753136933988","-34.01377652102974","517443","552755","-6.388363741621514","-"
"115/08/06","115/7","1452","宏益","紡織纖維","113912","127293","120814","-10.511968450739632","-5.7129140662506","838200","819863","2.236593186910496","-"
"115/08/06","115/7","1453","大將","建材營造","106","126","124","-15.873015873015873","-14.516129032258064","860","868","-0.9216589861751152","-"
"115/08/06","115/7","1454","台富","紡織纖維","118586","96895","126758","22.38608803343826","-6.446930371258619","760141","943959","-19.473091521983477","-"
"115/08/06","115/7","1468","昶和","紡織纖維","42981","49452","71769","-13.08541616112594","-40.11202608368516","306917","527361","-41.801346705577394","-"
"115/08/06","115/7","1477","聚陽","紡織纖維","2999331","2851147","2780854","5.19734689232088","7.856471429280358","20062161","20393811","-1.6262286631959078","-"
"115/08/06","115/7","1524","耿鼎","汽車工業","226339","176279","203569","28.398164273679793","11.185396597713797","1372773","1490769","-7.9151095843822885","-"
"115/08/06","115/7","1539","巨庭","電機機械","115130","100767","123095","14.253674317981085","-6.470612128843576","668722","846242","-20.977450894661338","-"
"115/08/06","115/7","1560","中砂","電機機械","886323","832959","700303","6.406557825775338","26.562787821842832","5672178","4590522","23.562810503903478","-"
"115/08/06","115/7","1590","亞德客-KY","電機機械","3994281","3912577","2649095","2.0882400525280396","50.77907738303081","26172168","19697987","32.86722140693869","本月營業收入換算匯率為4.7520020；本年累計營業收入換算匯率為4.6302622。"
"115/08/06","115/7","1611","中電","電器電纜","88821","83645","90240","6.18805666806145","-1.5724734042553192","597620","653444","-8.543042709092134","-"
"115/08/06","115/7","1612","宏泰","電器電纜","746815","717168","695123","4.133898891194253","7.436381762652077","4718567","4721901","-0.07060715588912178","-"
"115/08/06","115/7","1614","三洋電","電器電纜","511916","461010","474252","11.042276740200863","7.941769354689068","3162275","3360647","-5.902791932624878","-"
"115/08/06","115/7","1616","億泰","電器電纜","532980","572015","511929","-6.824121745059133","4.112093669239289","3322349","3051248","8.884921841816857","-"
"115/08/06","115/7","1713","國化","化學工業","33259","26893","35405","23.671587401926153","-6.061290778138681","259700","246193","5.486346078076956","-"
"115/08/06","115/7","1721","三晃","化學工業","99976","141052","176838","-29.121175169441056","-43.46463995295129","906380","1066880","-15.043866226754648","-"
"115/08/06","115/7","1727","中華化","化學工業","235237","224411","177598","4.824184197744318","32.454757373393846","1392746","1147464","21.376008310500374","-"
"115/08/06","115/7","1731","美吾華","生技醫療業","147474","131865","129567","11.837106131270618","13.820648776308783","1001974","926556","8.139605161479716","本月美吾髮及醫藥事業部營收雙雙成長，營收較去年同期大幅成長13.82%。"
"115/08/06","115/7","1805","寶徠","建材營造","115","114","114","0.8771929824561403","0.8771929824561403","104152","97128","7.2316942591219835","-"
"115/08/06","115/7","1906","寶隆","造紙工業","337926","286819","167121","17.818554558798407","102.2043908305958","1919258","1766425","8.652108071387124","代理銷售工業用紙之噸數增加"
"115/08/06","115/7","1909","榮成","造紙工業","4324449","4709421","3594033","-8.174508076470547","20.32301873688973","28534973","25057765","13.876768339075731","-"
"115/08/06","115/7","2006","東和鋼鐵","鋼鐵工業","5196912","5474143","4563042","-5.064372633305341","13.891390874771698","35093266","34854686","0.6844990656349622","-"
"115/08/06","115/7","2032","新鋼","鋼鐵工業","263658","280939","261187","-6.151157368681457","0.9460654626761669","1929201","1782112","8.253633890574779","-"
"115/08/06","115/7","2034","允強","鋼鐵工業","1354182","1224695","958911","10.57299980811549","41.220822370376396","7647337","7918750","-3.427472770323599","-"
"115/08/06","115/7","2049","上銀","電機機械","2681646","2554057","2002143","4.995542386093967","33.93878459230934","16569342","13766414","20.360625504942682","-"
"115/08/06","115/7","2059","川湖","電子零組件業","6407256","4442581","1406573","44.22372940414592","355.5224648845101","22687022","9589506","136.58175926893418","新產品開始出貨，導致年對年營收增幅較大。"
"115/08/06","115/7","2072","世紀風電","綠能環保","1571712","1718369","764252","-8.534662811072593","105.65363257145549","10417996","6180662","68.55793117306851","本月營收較去年本月增加，主要係因本月承接工程案件依進度認列收入較高所致"
"115/08/06","115/7","2102","泰豐","橡膠工業","22187","19010","21641","16.712256706996317","2.52298877131371","111917","159437","-29.8048759070981","-"
"115/08/06","115/7","2103","台橡","橡膠工業","3641846","3913317","2748063","-6.937107318420664","32.524108799543534","25853912","22253321","16.180016456869517","-"
"115/08/06","115/7","2108","南帝","橡膠工業","1028039","1056338","774450","-2.6789720714392553","32.74439925108141","7074499","5672125","24.72396147828195","-"
"115/08/06","115/7","2115","六暉-KY","汽車工業","320318","296722","246878","7.952224641246689","29.747486612820907","2061580","1800192","14.52000675483504","-"
"115/08/06","115/7","2231","為升","汽車工業","248852","233407","286576","6.617196570796934","-13.163698285969517","1733460","1992451","-12.998613265771656","-"
"115/08/06","115/7","2241","艾姆勒","汽車工業","80051","96393","56352","-16.953513221914456","42.05529528676888","551514","376941","46.313083479907995","-"
"115/08/06","115/7","2258","鴻華先進-創","汽車工業","597565","454732","280160","31.410369184486687","113.29418903483723","2902532","3220144","-9.863285617040729","本月乘用車較去年本月上升，乘用車及電動巴士陸續交車。"
"115/08/06","115/7","2303","聯電","半導體業","23844045","23124962","20040049","3.109553217860423","18.98196955506446","153614609","136656663","12.409161491086607","-"
"115/08/06","115/7","2313","華通","電子零組件業","6955176","6915025","5995419","0.5806341987194551","16.008172239504862","46495206","40925791","13.608570204544122","-"
"115/08/06","115/7","2317","鴻海","其他電子業","946512543","821762936","613864601","15.180729324107652","54.18913901503827","5589373251","4053385041","37.89396256372083","主要受惠於伺服器產品需求提升及出貨成長所致"
"115/08/06","115/7","2345","智邦","通信網路業","39472637","39554529","22990663","-0.20703571012057811","71.68985948774075","205131072","126346022","62.35657344241515","客戶需求增加"
