出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/08/06","115/7","1777","生泰","生技醫療業","102068","125864","113377","-18.906120892391787","-9.974686223837287","714044","753968","-5.295184941535981","-"
"115/08/06","115/7","1781","合世","生技醫療業","21098","34111","44205","-38.1489841986456","-52.27236737925574","214388","235454","-8.946970533522471","本月營收較去年同期減少主要係因出貨量減少所致。"
"115/08/06","115/7","2035","唐榮公司","鋼鐵工業","880207","705520","743150","24.760035151377707","18.442710085447082","6171941","5879117","4.980747959259868","-"
"115/08/06","115/7","2070","精湛","電機機械","106258","67296","60452","57.89645744174988","75.7725137299014","451756","357210","26.4679040340416","本月外銷高階機台訂單出貨"
"115/08/06","115/7","2230","泰茂","居家生活","133854","101206","112038","32.25895697883524","19.471964869062283","1279560","871787","46.77438410988005","-"
"115/08/06","115/7","3066","李洲","光電業","21483","26951","53970","-20.28867203443286","-60.19455252918288","161781","158619","1.9934560172488793","本月合併營收較去年同期減少，主要係因去年同期進行半導體晶片庫存去化。"
"115/08/06","115/7","3081","聯亞","通信網路業","501210","420507","181246","19.191832716221132","176.53575803052206","2626778","1188843","120.95247227766829","數據中心產品出貨量較同期增加"
"115/08/06","115/7","3105","穩懋","半導體業","1892049","1767694","1442357","7.034871420053471","31.17757947581632","11739377","8798558","33.42387468491996","-"
"115/08/06","115/7","3141","晶宏","半導體業","215671","186093","154490","15.89420343591645","39.60191598161693","1100853","948942","16.008459948026328","-"
"115/08/06","115/7","3152","璟德","通信網路業","145418","143118","115238","1.6070654983999217","26.18927784237838","904209","858071","5.3769443321123775","-"
"115/08/06","115/7","3169","亞信","半導體業","91252","85649","74538","6.541816016532592","22.42346185838096","586513","559944","4.744938779592245","-"
"115/08/06","115/7","3211","順達","電腦及週邊設備業","1228732","1268072","1016461","-3.1023475007728267","20.88333935094411","8064545","6628635","21.66222759286037","-"
"115/08/06","115/7","3213","茂訊","電腦及週邊設備業","366207","335433","214943","9.174410388959942","70.37400613185821","2102584","1746956","20.35700956406458","系統事業部 218,086 仟元/通路事業部 148,121 仟元"
"115/08/06","115/7","3227","原相","半導體業","893048","820339","722713","8.86328700695688","23.568830227213294","5640666","5351449","5.404461483235662","-"
"115/08/06","115/7","3228","金麗科","半導體業","34278","34669","26871","-1.127808705183305","27.565032935134532","205915","182435","12.870337380436869","-"
"115/08/06","115/7","3260","威剛","半導體業","18379079","14661310","4261406","25.35768631861682","331.2914329214349","82650603","26945572","206.7316700495354","記憶體售價上漲"
"115/08/06","115/7","3265","台星科","半導體業","421419","433842","395506","-2.8634848631529453","6.551860148771447","3136800","2649950","18.372044755561426","-"
"115/08/06","115/7","3324","雙鴻","其他電子業","3765466","2718035","1737663","38.536332313601555","116.69713862814596","21014269","11465627","83.28059163271227","成長動能來自AI伺服器液冷散熱系統市佔率持續攀升。"
"115/08/06","115/7","3357","臺慶科","電子零組件業","875885","764513","536330","14.567705192717455","63.31083474726381","4789387","3706276","29.2237005554902","受AI、車用及網通等產品需求持續提升，客戶出貨動能延續近期成長趨勢，致本月營收較去年同期成長63.31%。"
