公司代號	公司名稱	營業收入	營業成本	營業費用	營業外收入及支出	本期淨利（淨損）	其他綜合損益（淨額）	本期綜合損益總額	綜合損益總額歸屬於母公司業主	基本每股盈餘（元）	淨利率	毛利率	營益率	毛差	營差	淨差	三率三升
2812	台中銀	"6,858,846.00"		"4,987,480"	"4,970,619"	"5,268,867"	"1,382,714"	"6,651,581"	"6,651,581"	0.87	76.82%	100.00%	27.28%	0.00%	-4.46%	4.93%	0
1101	台泥	"71,289,957.00"	"58,298,233"	"7,821,547"	"1,464,159"	"4,569,799"	"11,092,920"	"15,662,719"	"12,009,761"	0.38	6.41%	18.22%	7.25%	-0.49%	-1.17%	2.78%	0
1102	亞泥	"32,660,010.00"	"28,230,836"	"1,533,693"	"4,768,972"	"7,030,464"	"6,205,057"	"13,235,521"	"12,308,387"	2.13	21.53%	13.56%	8.87%	0.56%	0.88%	9.45%	1
1103	嘉泥	"1,355,713.00"	"1,074,442"	"263,292"	"187,614"	"180,997"	"319,772"	"500,769"	"481,903"	0.27	13.35%	20.75%	1.33%	-0.40%	-0.97%	5.89%	0
1104	環泥	"3,559,282.00"	"2,592,850"	"419,597"	"344,039"	"784,945"	"948,027"	"1,732,972"	"1,720,470"	1.13	22.05%	27.15%	15.36%	-0.80%	-0.88%	5.54%	0
1108	幸福	"1,903,969.00"	"1,654,402"	"116,418"	"-2,910"	"87,807"	"29,092"	"116,899"	"116,899"	0.22	4.61%	13.11%	6.99%	-3.03%	-2.08%	-2.41%	0
1109	信大	"1,857,847.00"	"1,688,329"	"138,627"	"19,417"	"27,411"	"203,588"	"230,999"	"186,081"	0.15	1.48%	9.12%	1.66%	2.89%	3.53%	3.32%	1
1110	東泥	"1,267,331.00"	"1,065,054"	"90,026"	"107,045"	"200,166"	"14,888"	"215,054"	"208,308"	0.34	15.79%	15.96%	8.86%	1.63%	1.29%	11.50%	1
1201	味全	"10,445,618.00"	"7,664,790"	"2,826,165"	"244,027"	"244,063"	"157,667"	"401,730"	"401,182"	0.48	2.34%	26.62%	-0.43%	-0.79%	-1.22%	0.30%	0
1203	味王	"2,634,732.00"	"1,731,580"	"505,203"	"59,229"	"329,081"	"89,595"	"418,676"	"350,971"	0.93	12.49%	34.28%	15.10%	-0.19%	-0.65%	-1.17%	0
1210	大成	"53,866,680.00"	"46,483,753"	"5,288,445"	"11,061"	"1,566,812"	"650,804"	"2,217,616"	"1,587,093"	1.48	2.91%	13.71%	3.89%	-0.36%	-0.50%	-0.69%	0
1213	大飲	"150,587.00"	"153,262"	"20,313"	"-7,639"	"-31,570"	993	"-30,577"	"-30,577"	-0.56	-20.96%	-1.78%	-15.27%	0.23%	1.01%	6.42%	1
1215	卜蜂	"14,401,643.00"	"11,770,773"	"1,265,574"	"-110,523"	"965,071"	"-397,429"	"567,642"	"556,817"	3.24	6.70%	18.27%	9.48%	0.52%	0.61%	1.50%	1
1216	統一	"349,938,252.00"	"231,366,231"	"98,062,130"	"7,295,825"	"21,022,083"	"4,213,033"	"25,235,116"	"17,577,338"	2.56	6.01%	33.88%	5.86%	0.10%	0.00%	0.43%	1
1217	愛之味	"2,353,539.00"	"1,734,362"	"599,465"	"98,284"	"105,792"	"-99,005"	"6,787"	"-2,016"	0.19	4.50%	26.31%	0.84%	-0.04%	-0.99%	9.98%	0
1218	泰山	"5,034,600.00"	"4,241,157"	"573,953"	"-681,825"	"-786,678"	"-17,033"	"-803,711"	"-800,283"	-1.62	-15.63%	15.76%	4.36%	-1.38%	-1.95%	-21.57%	0
1219	福壽	"6,969,192.00"	"6,598,824"	"573,632"	"-206,695"	"-377,092"	"5,949"	"-371,143"	"-303,151"	-0.9	-5.41%	5.31%	-2.92%	-2.87%	-3.40%	-5.31%	0
1220	台榮	"1,506,585.00"	"1,374,930"	"157,106"	"5,779"	"-16,670"	-608	"-17,278"	"-21,588"	-0.12	-1.11%	8.74%	-1.69%	0.95%	2.16%	2.47%	1
1225	福懋油	"6,228,202.00"	"5,839,418"	"317,370"	"-204,738"	"-123,513"	"5,492"	"-118,021"	"-152,088"	-0.65	-1.98%	6.24%	1.15%	-2.69%	-2.93%	-5.87%	0
1227	佳格	"13,933,697.00"	"10,681,057"	"2,675,057"	"304,796"	"737,928"	"238,082"	"976,010"	"967,185"	0.8	5.30%	23.34%	4.15%	-0.10%	-2.73%	-0.89%	0
1229	聯華	"5,033,955.00"	"3,960,804"	"682,244"	"2,109,865"	"2,250,646"	"12,400,040"	"14,650,686"	"9,058,284"	1.19	44.71%	21.32%	7.77%	-2.00%	-1.89%	3.08%	0
1231	聯華食	"6,325,950.00"	"5,054,327"	"797,446"	"304,215"	"687,730"	"10,503"	"698,233"	"698,241"	2.31	10.87%	20.10%	7.50%	-1.56%	-2.02%	2.00%	0
1232	大統益	"11,481,997.00"	"9,892,302"	"629,668"	"26,046"	"790,350"	"9,509"	"799,859"	"762,653"	4.71	6.88%	13.85%	8.36%	0.16%	0.22%	0.27%	1
1233	天仁	"1,116,827.00"	"440,721"	"621,898"	"9,719"	"53,007"	"15,172"	"68,179"	"68,147"	0.59	4.75%	60.54%	4.85%	-0.54%	-1.54%	-0.60%	0
1234	黑松	"4,436,617.00"	"3,225,524"	"1,101,051"	"211,686"	"240,833"	"9,560"	"250,393"	"250,393"	0.6	5.43%	27.30%	2.48%	3.35%	0.47%	0.45%	1
1235	興泰	"93,120.00"	"65,952"	"29,570"	"40,044"	"36,231"	"-190,846"	"-154,615"	"-145,838"	0.29	38.91%	29.18%	-2.58%	0.63%	-9.45%	252.40%	0
1236	宏亞	"885,268.00"	"673,459"	"244,063"	"8,207"	"-13,749"	"246,116"	"232,367"	"232,367"	-0.16	-1.55%	23.93%	-3.64%	-4.16%	-8.25%	-5.22%	0
1301	台塑	"89,239,090.00"	"81,703,844"	"5,957,378"	"12,657,953"	"13,920,632"	"200,312,727"	"214,233,359"	"214,233,359"	2.19	15.60%	8.44%	1.77%	4.74%	4.87%	7.81%	1
1303	南亞	"152,243,276.00"	"128,229,443"	"8,895,761"	"31,744,935"	"42,224,999"	"47,928,631"	"90,153,630"	"88,647,805"	5.17	27.74%	15.77%	9.93%	3.84%	4.47%	6.34%	1
1304	台聚	"21,760,221.00"	"19,938,079"	"2,054,787"	"-1,376,575"	"-1,531,178"	"1,335,546"	"-195,632"	"271,189"	-0.58	-7.04%	8.37%	-1.07%	5.52%	4.78%	2.00%	1
1305	華夏	"5,403,542.00"	"4,940,155"	"458,497"	"-11,180"	"-2,181"	"18,590"	"16,409"	"30,943"	0.02	-0.04%	8.58%	0.09%	6.61%	6.66%	5.01%	1
1307	三芳	"5,663,392.00"	"3,880,290"	"1,084,974"	"96,902"	"581,213"	"178,279"	"759,492"	"759,492"	1.46	10.26%	31.48%	12.33%	-1.11%	-1.58%	-2.81%	0
1308	亞聚	"2,852,287.00"	"2,554,418"	"116,457"	"-250,030"	"-90,525"	"740,141"	"649,616"	"649,616"	-0.15	-3.17%	10.44%	6.36%	4.78%	5.32%	6.06%	1
1309	台達化	"6,173,020.00"	"6,017,336"	"590,026"	"-160,731"	"-469,564"	"153,230"	"-316,334"	"-316,334"	-1.18	-7.61%	2.52%	-7.04%	4.28%	1.22%	-1.24%	0
1310	台苯	"4,162,400.00"	"4,083,389"	"86,214"	"-544,731"	"-599,646"	"-533,845"	"-1,133,491"	"-1,132,535"	-1.13	-14.41%	1.90%	-0.17%	-7.04%	-7.29%	8.28%	0
1312	國喬	"12,914,268.00"	"12,936,263"	"1,418,513"	"-489,288"	"-1,880,849"	"2,929,577"	"1,048,728"	"395,114"	-1.68	-14.56%	-0.17%	-11.15%	1.56%	0.74%	3.10%	1
1313	聯成	"31,067,465.00"	"29,043,083"	"1,396,187"	"-68,698"	"414,906"	"394,156"	"809,062"	"809,062"	0.31	1.34%	6.52%	2.02%	0.31%	0.67%	0.63%	1
1314	中石化	"7,979,691.00"	"8,069,332"	"669,108"	"-1,226,890"	"-1,985,664"	"1,085,717"	"-908,373"	"-900,653"	-0.52	-24.88%	-1.12%	-9.51%	6.00%	6.31%	-18.45%	0
1315	達新	"966,968.00"	"840,855"	"177,755"	"119,429"	"45,062"	"3,571,172"	"3,616,234"	"3,613,193"	0.45	4.66%	13.04%	-5.34%	2.05%	4.80%	1.03%	1
1316	上曜	"3,985,276.00"	"2,652,774"	"1,159,270"	"155,389"	"149,818"	"21,797"	"171,615"	"-126,657"	-0.36	3.76%	33.44%	4.35%	1.28%	1.41%	1.60%	1
1319	東陽	"11,293,727.00"	"7,621,485"	"1,892,349"	"398,369"	"1,746,455"	"175,800"	"1,922,255"	"1,920,213"	2.98	15.46%	32.52%	15.76%	0.01%	0.00%	-1.27%	0
1321	大洋	"1,904,737.00"	"1,679,019"	"194,391"	"265,223"	"170,760"	"208,395"	"379,155"	"379,155"	0.77	8.97%	11.85%	1.64%	-0.12%	-0.73%	4.98%	0
1323	永裕	"1,078,599.00"	"864,215"	"151,146"	"30,192"	"92,755"	"74,549"	"167,304"	"167,304"	1.02	8.60%	19.88%	5.86%	1.24%	1.41%	2.48%	1
1324	地球	"332,426.00"	"270,019"	"63,953"	"3,590"	"-1,880"	"5,671"	"3,791"	"3,791"	-0.03	-0.57%	18.77%	-0.47%	2.63%	2.63%	2.09%	1
1325	恆大	"123,378.00"	"152,606"	"23,528"	"20,607"	"-27,428"	"13,292"	"-14,136"	"-16,019"	-0.3	-22.23%	-23.69%	-42.76%	-3.68%	-4.69%	-8.92%	0
1326	台化	"168,904,093.00"	"157,048,822"	"6,803,380"	"9,289,057"	"13,050,007"	"168,178,134"	"181,228,141"	"176,525,362"	2.11	7.73%	7.02%	2.99%	-0.72%	-0.83%	-0.27%	0
1337	再生-KY	"288,257.00"	"328,889"	"166,734"	"-31,443"	"-238,809"	"153,905"	"-84,904"	"-84,904"	-0.89	-82.85%	-14.10%	-71.94%	-5.42%	-7.43%	-7.39%	0
1339	昭輝	"806,378.00"	"603,226"	"167,878"	"273,295"	"284,286"	"19,433"	"303,719"	"283,252"	3.61	35.25%	25.19%	4.37%	0.58%	4.64%	-21.45%	0
1342	八貫	"1,911,043.00"	"1,420,281"	"140,741"	"22,654"	"318,976"		"318,976"		4.1	16.69%	25.68%	18.32%	-1.52%	-2.04%	-0.99%	0
1402	遠東新	"130,564,734.00"	"103,410,325"	"17,683,728"	"4,107,534"	"10,938,405"	"4,397,115"	"15,335,520"	"9,926,393"	1.15	8.38%	20.80%	7.25%	-1.10%	-0.21%	-0.68%	0
1410	南染	"106,764.00"	"69,619"	"31,810"	"4,865"	"5,016"	0	"5,016"	"7,966"	0.13	4.70%	34.79%	5.00%	3.18%	7.11%	3.89%	1
1413	宏洲	"1,007,165.00"	"968,734"	"22,062"	"14,394"	"22,861"	0	"22,861"		0.17	2.27%	3.82%	1.63%	4.68%	4.99%	6.15%	1
1414	東和	"240,705.00"	"212,357"	"42,991"	"87,293"	"73,532"	"37,607"	"111,139"	"111,139"	0.37	30.55%	11.78%	-6.08%	0.67%	0.12%	20.86%	1
1416	廣豐	"227,106.00"	"136,500"	"81,637"	"125,185"	"127,171"	"78,289"	"205,460"	"193,399"	0.62	56.00%	39.90%	3.95%	4.94%	5.05%	21.93%	1
1417	嘉裕	"145,264.00"	"52,872"	"105,388"	"-3,626"	"-17,591"	"87,362"	"69,771"	"69,771"	-0.09	-12.11%	63.60%	-8.95%	-3.22%	-6.25%	45.24%	0
1418	東華	"3,427.00"	"3,248"	"43,675"	"-48,723"	"-92,219"	561	"-91,658"	"-91,655"	-1.7	-2690.95%	5.22%	-1269.22%	13.40%	2244.98%	3620.77%	1
1419	新紡	"2,561,464.00"	"1,898,671"	"429,851"	"3,274,706"	"3,351,594"	"2,455,178"	"5,806,772"	"5,806,772"	11.2	130.85%	25.88%	9.09%	0.02%	-1.41%	-62.20%	0
1423	利華	"44,399.00"	"36,748"	"16,693"	"52,888"	"40,969"	"63,547"	"104,516"		0.41	92.27%	17.23%	-20.37%	-7.85%	-18.35%	43.12%	0
1432	大魯閣	"400,698.00"	"339,026"	"188,223"	"-13,681"	"-131,801"	"-2,162"	"-133,963"	"-122,826"	-1.11	-32.89%	15.39%	-31.58%	-1.11%	-4.95%	-1.28%	0
1434	福懋	"14,210,123.00"	"12,638,181"	"1,229,987"	"553,014"	"840,859"	"6,322,536"	"7,163,395"	"7,163,395"	0.5	5.92%	11.06%	2.41%	-0.12%	-0.44%	1.09%	0
1435	中福	"2,991.00"	"1,073"	"74,295"	"-2,582"	"-74,959"	332	"-74,627"		-0.54	-2506.15%	64.13%	-2419.83%	0.05%	-1804.84%	-1765.95%	0
1436	華友聯	"483,042.00"	"196,263"	"131,374"	"-104,852"	"25,724"	"1,872"	"27,596"	"28,395"	0.14	5.33%	59.37%	32.17%	10.15%	48.28%	88.87%	1
1437	勤益控	"409,885.00"	"142,746"	"60,905"	"258,879"	"414,746"	"10,198"	"424,944"	"424,695"	2.05	101.19%	65.17%	50.32%	3.76%	3.28%	21.63%	1
1438	三地開發	"391,694.00"	"236,929"	"41,294"	"-65,485"	"24,461"	"-1,368"	"23,093"		0.22	6.24%	39.51%	28.97%	-0.05%	-3.44%	-12.78%	0
1439	雋揚	"115,426.00"	"82,942"	"32,653"	"116,036"	"105,288"	"2,123"	"107,411"	"101,031"	1.08	91.22%	28.14%	-0.15%	-1.98%	-6.61%	14.67%	0
1440	南紡	"6,563,340.00"	"5,859,926"	"814,455"	"366,967"	"232,343"	"1,236,432"	"1,468,775"	"1,458,554"	0.14	3.54%	10.72%	-1.69%	1.99%	2.15%	5.72%	1
1441	大東	"594,701.00"	"586,093"	"80,807"	"-31,889"	"-104,088"	"3,955"	"-100,133"	"-100,133"	-1.45	-17.50%	1.45%	-12.14%	0.03%	-0.97%	-2.02%	0
